place_id,status,name,address,location,latitude,longitude,directions,hours,publicOrPrivate,isAccessible,male,female,hasToiletPaper,hasSoap,hasChangingTable,unisex,isFree,needKey,isVerified,rating,user_ratings_total,type
toilet37.7694208-122.4862138,OPERATIONAL,"Panhandle Restroom",37.7694208,"{""lat"":37.7694208,""lng"":-122.4862138}",-122.4862138,"near the crosswalk","","24 hours","",1,1,1,1,1,1,1,1,0,0,3,0,toilet
ChIJucsJckKHhYARsY84aKD_v54,OPERATIONAL,"Bandstand Public Restrooms","78 Music Concourse Dr, San Francisco, CA 94118, United States","{""lat"":37.7697946,""lng"":-122.4686658}",37.7697946,-122.4686658,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4,15,toilet
ChIJ75DIykWHhYARltL_Q2yYsNs,OPERATIONAL,"Public Restrooms","Conservatory Dr W, San Francisco, CA 94117, United States","{""lat"":37.7725871,""lng"":-122.4608333}",37.7725871,-122.4608333,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.1,11,toilet
ChIJF12KqBx-j4ARX_HQr1uLpGw,OPERATIONAL,"Public Restroom","2375 Market St, San Francisco, CA 94114, United States","{""lat"":37.7629134,""lng"":-122.4343726}",37.7629134,-122.4343726,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4,8,toilet
ChIJm8Fr4_R_j4ARW_-RYuHx1hs,OPERATIONAL,"Public Restroom","579 Madrid St, San Francisco, CA 94112, United States","{""lat"":37.7203195,""lng"":-122.4335514}",37.7203195,-122.4335514,,,,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJMwCMcVN_j4ARtAquhZP8ySo,OPERATIONAL,"Crocker Amazon Soccer Field Restrooms","1631 Geneva Ave, San Francisco, CA 94134, United States","{""lat"":37.7135623,""lng"":-122.4300045}",37.7135623,-122.4300045,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,5,1,toilet
ChIJtY7M8fZ_j4AR5LuGiMqhMC4,OPERATIONAL,"San Bruno Mountain Picnic Area Public Restroom","Saddle Loop Trail, Daly City, CA 94014, United States","{""lat"":37.6970913,""lng"":-122.4334484}",37.6970913,-122.4334484,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJz-O2o9t_j4ARjO99vkayCns,OPERATIONAL,"Public Restroom","34 Sgt John V Young Ln, San Francisco, CA 94112, United States","{""lat"":37.7251721,""lng"":-122.4441942}",37.7251721,-122.4441942,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJjxqYX2CBhYARqMfgl8w2RXU,OPERATIONAL,"Public Restroom","0625003, San Francisco, CA 94109, United States","{""lat"":37.7917004,""lng"":-122.4281239}",37.7917004,-122.4281239,,,,0,0,0,0,0,0,0,0,0,0,4.8,4,toilet
ChIJfyNb-Y-AhYARvP-R20MPsDU,OPERATIONAL,"Public Restroom","288 Eddy St, San Francisco, CA 94102, United States","{""lat"":37.7840422,""lng"":-122.4124789}",37.7840422,-122.4124789,,,,0,0,0,0,0,0,0,0,0,0,3.5,6,toilet
ChIJw6ZFHunrtocRZEX-fRizmZ0,OPERATIONAL,"Public Bathroom","Tulsa, OK 74105, United States","{""lat"":36.1151951,""lng"":-95.9848068}",36.1151951,-95.9848068,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,3,2,toilet
ChIJWVPpWGyHhYAREZVqrEXvNb4,OPERATIONAL,"Public restrooms","50 Stow Lake Dr, San Francisco, CA 94118, United States","{""lat"":37.7706367,""lng"":-122.4771115}",37.7706367,-122.4771115,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.2,9,toilet
ChIJQaytJZSHhYARQNfe5sDaQvY,OPERATIONAL,"Public Restroom","1398 Great Hwy, San Francisco, CA 94122, United States","{""lat"":37.7602161,""lng"":-122.5096024}",37.7602161,-122.5096024,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,3.6,24,toilet
ChIJFUQlPJZ9j4ARmoQyQjcWC30,OPERATIONAL,"Public Restroom","300 Stonecrest Dr, San Francisco, CA 94132, United States","{""lat"":37.7251376,""lng"":-122.4740852}",37.7251376,-122.4740852,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,0,0,toilet
